genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G000992765	0	0.0	1.0	1.0	1.811168092837757e-21	8.349967977800511e-29	3.4846109280634535e-29	3.4893880769198845e-28	1.4672356283861923e-24	5.253092955284686e-38	1.183202248103664e-22	2.3518487873511847e-30	8.746600057226943e-26	8.266864953255462e-22	7.187295683731501e-26	2.7670459392341697e-15	2.518805213903842e-33	9.012323110124448e-23
G000296385	3	3.0	1.0	7.286752014489049e-44	6.465274030820276e-34	1.1210387714598537e-44	1.0	8.557145227206384e-30	2.0183937206466455e-28	5.906176560300438e-27	4.4969069018647705e-41	5.106331603999633e-41	1.401298464324817e-45	1.869471761046247e-23	1.2166280014626455e-30	1.6834722435470643e-23	1.4069071737597036e-35	2.8008573493048968e-24
G000990505	12	12.0	1.0	5.0193786507334357e-26	3.327159534725613e-28	8.87662616000846e-31	4.057216711824239e-23	4.4280262581735016e-21	5.671216697018612e-25	2.1800669931638258e-27	4.1188422799634575e-32	7.650312661087271e-33	8.15001213555749e-36	1.1323470441285754e-26	7.757576174364997e-26	1.0	4.8897213424714096e-30	6.01997331332945e-21
G001791295	0	0.0	1.0	1.0	1.5128981202362166e-17	2.995976116726459e-42	1.5752998433799268e-21	1.4382030079280204e-25	5.2185490811182306e-27	9.185582045531693e-32	2.836775039313982e-29	3.2229864679470793e-44	2.7817370772548094e-29	1.0337026506863e-20	2.5188256802809307e-17	3.9244798274822024e-14	8.799248774167843e-32	5.456507162804001e-28
G001422145	1	1.0	1.0	1.1027522749159234e-37	1.0	2.164333055703458e-33	0.0	1.3018760874027036e-13	2.8506415182464512e-27	1.172370853564356e-28	1.3551133981167392e-25	9.052388079538318e-42	2.9529219760995213e-28	8.15576153984235e-37	6.117549153182136e-29	0.0	2.208371594587203e-15	2.2981294814927e-43
G000019845	7	7.0	1.0	9.404621532280407e-34	5.284895681771455e-36	1.961817850054744e-44	1.545384008166272e-37	3.401465095659585e-35	1.091807685494038e-40	2.382207389352189e-44	1.0	1.1123742071917174e-34	7.752791659019122e-24	5.777821837097171e-18	8.91735374788027e-31	1.401298464324817e-45	1.4278250442544859e-40	6.098742296811918e-30
G900112985	11	11.0	1.0	4.372667938405724e-28	7.641401501530475e-22	9.880799725212066e-20	1.9882489570503285e-18	3.2192258299194865e-13	8.781615139450143e-16	1.0015395495365995e-13	6.272190698737098e-20	2.3733382880503084e-12	4.2509198137882277e-16	6.920590580708247e-16	1.0	5.268587283569111e-15	5.594780312621717e-19	1.551982682112033e-15
G000687715	6	6.0	1.0	3.3054552170237324e-33	6.046931203396971e-34	2.802596928649634e-45	2.1517471111576006e-32	4.2863211669065084e-23	2.0247683305908158e-31	1.0	4.610748389106519e-40	5.1337754107190755e-30	9.427867300409902e-33	1.0647730685503977e-33	1.3042707554237099e-15	1.028115460890997e-33	2.3110881915980036e-31	1.7447021935695505e-29
G001439135	7	7.0	1.0	4.6627965377072424e-38	1.2554694343573181e-28	3.2725083556763183e-40	1.3035793185929701e-30	1.349500776035608e-25	1.4141294386018046e-33	5.01524720381852e-42	1.0	1.5285000966295899e-28	2.263193229107083e-29	8.344370544766491e-20	4.815902780104244e-35	3.5536258943141333e-35	4.412732181096978e-36	1.0550196087104668e-28
G000233695	10	10.0	1.0	1.6003237847122536e-25	2.8377975673425557e-18	5.852268567482632e-32	1.7656772362430314e-16	1.5803713970074347e-24	1.2710104286701068e-20	1.7963546936277386e-20	2.9881783823192367e-18	3.634029123158509e-27	3.577473017640283e-18	1.0	1.8454892291002584e-13	8.120226779925971e-27	2.190813701740836e-19	4.621688865724668e-18
G001823375	0	0.0	1.0	1.0	2.018340404792421e-20	6.293868994084021e-39	1.43646748793648e-29	8.352461575596006e-27	3.959627465983432e-34	3.549846725289343e-27	2.6453866068428043e-21	6.885514021303531e-39	6.553159936988521e-38	4.6486571291324595e-24	1.5508041681148267e-16	1.4229042353431233e-21	2.0680812928385022e-27	6.558415385519619e-22
G000812875	6	6.0	1.0	1.005410619275166e-26	3.224181755417579e-26	6.546287780107756e-16	5.094138891929186e-21	1.4526820806588623e-18	1.9226380514955757e-22	1.0	2.5145061655207798e-24	4.93142175315639e-14	2.309161595853616e-28	9.42718125784836e-11	1.5238549354659736e-12	1.0199849455718238e-13	1.1996354783051248e-31	1.3320799745292435e-18
G001775085	12	12.0	1.0	1.3549479838456756e-25	2.6762429074614114e-21	1.9497123257426126e-24	3.1932176336848765e-24	1.2684530350165114e-20	1.035105315899948e-24	1.3096576307200883e-34	5.0817847590181295e-25	1.6978266228190213e-25	4.395531808333511e-27	1.3035276643378678e-18	2.8506436822555042e-18	1.0	1.0255813612133597e-25	7.95669953534972e-12
G001412345	10	10.0	1.0	9.913762519242475e-12	4.955727617687736e-15	4.343236346522698e-16	2.2241687658297593e-11	1.0850914611282292e-09	3.6466993869055386e-09	4.974651604278818e-14	1.9421399211072554e-10	1.1734378379412963e-17	4.291152936458653e-13	1.0	2.292578926699207e-08	1.325718285150046e-10	4.2511794823261203e-16	5.989884699353354e-10
