genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G000495815	7	7.0	1.0	9.517612829456162e-21	2.8684555691807617e-19	5.568825509749319e-26	4.577019458285579e-18	3.2174160042672414e-16	7.858691448105981e-20	8.16101723782359e-23	1.0	5.028411620770746e-16	5.951046079533118e-12	7.135737313535007e-13	1.7579080912321374e-16	3.07250105967588e-26	2.2330062238682823e-22	3.0397195926971096e-18
G900115865	7	7.0	1.0	1.7586750415284927e-21	1.8674859255174768e-20	9.43996634233875e-24	6.416558463837553e-17	1.399555821000951e-15	3.0841610084798633e-19	3.7792160545953844e-24	1.0	1.3787810409503389e-18	1.1413134536574204e-14	1.0354961517151234e-13	3.299972947282831e-19	1.0106841741480911e-23	1.983636349800549e-17	1.2880321312819425e-17
G000236705	6	6.0	0.9996181726455688	8.838812385995876e-13	1.5211055783275352e-15	5.408901340600396e-14	3.1250826371120866e-09	1.461019890139359e-12	1.4010651146201258e-11	0.9996181726455688	2.6437287947235803e-16	1.756838218739537e-13	2.0274233680783738e-12	2.4382018626312174e-10	0.0003818040422629565	3.052854410240391e-12	7.62718779464839e-15	2.878188139210369e-12
G001431405	9	9.0	0.9999997615814209	7.105944165985655e-19	1.2894092711965575e-16	7.956137063121096e-16	5.275574933152683e-19	9.662016060276932e-14	7.792937372289038e-17	1.1292865713488114e-22	7.948656381533137e-13	2.577341717824311e-07	0.9999997615814209	1.2789750812244871e-12	2.557946062385993e-16	5.5621706475984385e-22	3.737653581954584e-16	9.032076429206135e-16
G001776835	12	12.0	0.9999996423721313	5.776208938240712e-12	1.3496085520947015e-18	4.759998427227209e-19	6.23030806836517e-15	2.2533159366178168e-11	3.63064344810482e-07	4.200261557833762e-14	3.306159741276845e-19	3.710908650027903e-20	2.460326971052813e-17	5.773615474602423e-10	2.2320489900806706e-10	0.9999996423721313	9.517922616350381e-17	1.0295806873727997e-08
G002020775	9	9.0	0.9999992847442627	2.9114362830318097e-13	3.1624916574379824e-10	1.3901539641647531e-11	5.452528012428459e-11	3.0392812710999806e-09	1.638019581085004e-12	1.5080841577700538e-13	1.0046989282197494e-12	2.6037886868834903e-07	0.9999992847442627	4.01595542598443e-07	1.3939043697064335e-07	2.0513124532328675e-10	1.7314652489552884e-10	1.3136101983945991e-08
G001306455	11	11.0	0.9999669790267944	1.4532533509914458e-10	3.6756649156657883e-13	5.108906353523679e-11	7.141324687154338e-08	6.209577740889927e-09	3.2065272659309585e-10	3.291105167591013e-05	4.388886172893014e-13	2.1441898923058034e-08	8.995050537752292e-11	2.588622471932922e-08	0.9999669790267944	1.6109675371467347e-08	2.477935079348015e-10	6.370585836634746e-09
G000501755	14	14.0	1.0	1.0248088998503907e-14	9.70790275158184e-25	3.2928447183541553e-18	1.520160941570481e-10	2.8478113777878145e-15	8.090767232614773e-14	1.9801759190696266e-11	8.49290594990594e-14	2.8484479313194822e-18	2.6753732574187313e-15	1.17332177307361e-09	2.381969448073118e-11	5.084232080482254e-12	2.726170678091222e-10	1.0
G001824295	0	0.0	0.9999997615814209	0.9999997615814209	6.318977979757889e-11	1.43390602668457e-13	6.120913780167936e-13	9.035821396663479e-11	2.3848434552577007e-14	1.6324950018100498e-13	1.0413256628510892e-12	6.130508423058182e-16	3.256596815132129e-12	3.1717278803355953e-10	1.6900336685665707e-10	2.220657222551381e-07	8.947514951174185e-11	2.150296000286156e-12
G000420405	1	1.0	1.0	4.6226409506097164e-18	1.0	5.211218926422349e-23	2.7124770162037812e-18	6.157174770038409e-10	7.806631724524213e-15	8.121866714807969e-20	3.662450109148468e-18	9.445722652892057e-18	3.9781390258775834e-14	1.909140705767809e-13	8.479321574311055e-15	1.3839802784701427e-13	3.825868251762857e-15	3.186279771928355e-14
